code1,code2,distance
af,cn,0.655
af,co,0.589
af,cr,0.6235
af,cu,0.6012
af,cv,0.5841
af,cw,0.5748
af,cx,0.4856
af,cy,0.8825
af,cz,0.6412
af,de,0.5451
af,dj,0.6852
af,dk,0.6241
af,dm,0.4076
af,do,0.5716
af,dz,0.6133
af,ec,0.5923
af,ee,0.6577
af,eg,0.5739
af,eh,0.4617
af,er,0.5219
af,es,0.5586
af,et,0.5472
af,fi,0.7756
af,fj,0.6254
af,fk,0.5381
af,fm,0.7218
af,fo,0.7662
af,fr,0.5669
af,ga,0.5678
af,gb-eng,0.8141
af,gb-nir,0.818
af,gb-sct,0.6921
af,gb-wls,0.6119
af,gb,0.5811
af,gd,0.4879
af,ge,0.7882
af,gf,0.6078
af,gg,0.7881
af,gh,0.502
af,gi,0.7521
af,gl,0.7225
af,gm,0.5057
af,gn,0.4598
af,gp,0.3867
af,gq,0.5621
af,gr,0.6739
af,gs,0.5258
af,gt,0.6389
af,gu,0.5269
af,gw,0.5348
af,gy,0.4997
af,hk,0.6339
af,hm,0.6016
af,hn,0.7547
af,hr,0.6287
af,ht,0.5229
af,hu,0.6014
af,id,0.7627
af,ie,0.6176
af,il,0.7635
af,im,0.6108
af,in,0.592
af,io,0.5719
af,iq,0.5735
af,ir,0.6214
af,is,0.5616
af,it,0.5807
af,je,0.8039
af,jm,0.4848
af,jo,0.4764
af,jp,0.8778
af,ke,0.4525
af,kg,0.6685
af,kh,0.5382
af,ki,0.5676
af,km,0.5761
af,kn,0.484
af,kp,0.5719
af,kr,0.8204
af,kw,0.4653
af,ky,0.5402
af,kz,0.6382
af,la,0.5024
af,lb,0.6891
af,lc,0.7442
af,li,0.5359
af,lk,0.5123
af,lr,0.6059
af,ls,0.6303
af,lt,0.5353
af,lu,0.679
af,lv,0.5913
af,ly,0.462
af,ma,0.5836
af,mc,0.7335
af,md,0.5223
af,me,0.6066
af,mf,0.5669
af,mg,0.6948
af,mh,0.588
af,mk,0.5747
af,ml,0.5342
af,mm,0.5613
af,mn,0.6314
af,mo,0.5398
af,mp,0.5347
af,mq,0.514
af,mr,0.5127
af,ms,0.5355
af,mt,0.7705
af,mu,0.5269
af,mv,0.5305
af,mw,0.4317
af,mx,0.5581
af,my,0.5928
af,mz,0.5379
af,na,0.4922
af,nc,0.5187
af,ne,0.6174
af,nf,0.4591
af,ng,0.5465
af,ni,0.6913
af,nl,0.6052
af,no,0.5662
af,np,0.4849
af,nr,0.5745
af,nu,0.6855
af,nz,0.5607
af,om,0.5945
af,pa,0.6885
af,pe,0.6571
af,pf,0.6776
af,pg,0.4669
af,ph,0.6413
af,pk,0.6877
af,pl,0.7454
af,pm,0.5608
af,pn,0.5169
af,pr,0.6485
af,ps,0.5249
af,pt,0.5468
af,pw,0.708
af,py,0.6156
af,qa,0.7224
af,re,0.6143
af,ro,0.504
af,rs,0.617
af,ru,0.6583
af,rw,0.592
af,sa,0.5204
af,sb,0.5307
af,sc,0.5099
af,sd,0.4812
af,se,0.5457
af,sg,0.7483
af,sh,0.5507
af,si,0.7199
af,sj,0.5662
af,sk,0.6577
af,sl,0.6452
af,sm,0.7506
af,sn,0.5325
af,so,0.6882
af,sr,0.5447
af,ss,0.516
af,st,0.5492
af,sv,0.6615
af,sx,0.6053
af,sy,0.5118
af,sz,0.5178
af,tc,0.5515
af,td,0.4913
af,tf,0.5882
af,tg,0.5479
af,th,0.5886
af,tj,0.6422
af,tk,0.5059
af,tl,0.5144
af,tm,0.5416
af,tn,0.6406
af,to,0.6694
af,tr,0.6506
af,tt,0.5623
af,tv,0.6254
af,tw,0.6492
af,tz,0.5085
af,ua,0.64
af,ug,0.5156
af,um,0.57
af,us,0.57
af,uy,0.7265
af,uz,0.6437
af,va,0.7563
af,vc,0.4163
af,ve,0.5556
af,vg,0.5277
af,vi,0.7894
af,vn,0.689
af,vu,0.4492
af,wf,0.598
af,ws,0.5696
af,xk,0.5586
af,ye,0.5852
af,yt,0.8261
af,za,0.4969
af,zm,0.5419
af,zw,0.5908
ag,ad,0.4963
ag,ae,0.5371
ag,af,0.5049
ag,ag,0.0
ag,ai,0.6441
ag,al,0.6157
ag,am,0.5412
ag,ao,0.5101
ag,aq,0.7601
ag,ar,0.7391
ag,as,0.618
